keyword,keyword sv,Keywords (in the same cluster),Avg Search Volume,Total_Search_Volume,relevance_score,Chewy_URL,product_count,CTR
minnie mouse toys,74000,"minnie mouse toys, minnie mouse accessories, minnie mouse treats, minnie mouse accessories for adults, minnie mouse new toys, new minnie mouse toys, small minnie mouse toys, minnie mouse dog accessories, little minnie mouse toys, minnie mouse accessories adults, minnie mouse home accessories, minnie mouse toys and accessories","74000.0, 590.0, 480.0, 110.0, 110.0, 110.0, 70.0, 40.0, 20.0, 20.0, 10.0, 10.0",75570,8.869499244,https://www.chewy.com/disney-minnie-mouse-plush-rope/dp/247354,64,0.009641873
bird nests,33100,"bird nests, three bird nests, bird nest plant, bird nest with eggs, cat bird nests, bird nesting season, large bird nests, bird nest treats, finch bird nests, round bird nests, 6 bird nest","33100.0, 14800.0, 1900.0, 480.0, 480.0, 390.0, 320.0, 170.0, 170.0, 50.0, 10.0",51870,7.30864565,,187,
cat games fish,27100,"cat games fish, fish cat games, kitten games fish, cat games with fish","27100.0, 27100.0, 90.0, 20.0",54310,2.761090023,,7,
catnip plant,27100,"catnip plant, planting catnip, catnip leaf, cat catnip plant, catnip herbs, catnip ingredients, natural catnip, catnip varieties, natural catnip plant, organic catnip herb, catnip natural, natural catnip for cats, organic catnip for cats, the plant catnip, varieties of catnip","27100.0, 27100.0, 880.0, 590.0, 590.0, 260.0, 110.0, 90.0, 30.0, 20.0, 10.0, 10.0, 10.0, 10.0, 10.0",56820,4.924006832,https://www.chewy.com/from-field-leaf-flower-catnip/dp/245950,19,
gun dog supplies,27100,gun dog supplies,27100,27100,2.754535738,,10,
dog tags military,18100,"dog tags military, military dog tags, dog collars military, dog tags navy, navy dog tags","18100.0, 18100.0, 1600.0, 880.0, 880.0",39560,4.291063457,https://www.chewy.com/onetigris-nylon-military-dog-collar/dp/171045,16,
aquariums and zoos,14800,"aquariums and zoos, zoos and aquariums, aquariums zoo","14800.0, 14800.0, 1300.0",30900,5.441497066,,47,
outdoor dog supplies,14800,"outdoor dog supplies, dog supplies for camping","14800.0, 170.0",14970,5.615218107,,1642,
treatment hot spot dog,14800,"treatment hot spot dog, dog allergy hot spot treatment","14800.0, 10.0",14810,7.96139185,,110,
cat lasers,12100,"cat lasers, lasers for cat, cat laser light, kitten lasers, cat laser collar, cat and lasers, cat with lasers, kittens with lasers, black cat laser light, cat 1 laser, cat laser funny, kittens and lasers","12100.0, 12100.0, 1000.0, 320.0, 260.0, 210.0, 40.0, 40.0, 10.0, 10.0, 10.0, 10.0",26110,6.270967433,https://www.chewy.com/petsafe-bolt-interactive-laser-cat/dp/55753,217,0.035714286
fly fish food,12100,fly fish food,12100,12100,4.743576592,,19,
freshwater fish for aquarium,12100,"freshwater fish for aquarium, saltwater aquarium fish, fish for saltwater aquariums, saltwater aquarium plants, freshwater aquarium fish large, large freshwater fish for aquarium, exotic freshwater fish for aquariums, fresh water fish for aquariums, tropical freshwater fish for aquarium, big freshwater fish for aquariums, marine fish for aquarium, freshwater fish for home aquariums, exotic saltwater aquarium fish, aquarium salt freshwater fish, large saltwater fish for aquariums, all freshwater fish for aquariums, yellow freshwater aquarium fish, aquarium salt and plants, aquarium salt plants, long freshwater aquarium fish, aquarium salt planted tank, aquarium salt with plants, live freshwater fish for aquariums","12100.0, 6600.0, 6600.0, 880.0, 720.0, 720.0, 590.0, 590.0, 390.0, 320.0, 210.0, 170.0, 170.0, 110.0, 70.0, 50.0, 50.0, 40.0, 40.0, 40.0, 20.0, 10.0, 10.0",30500,6.274422687,https://www.chewy.com/b/fish-885,1125,0
from the dog gifts,12100,from the dog gifts,12100,12100,3.184627928,,18,
catnip dogs,9900,"catnip dogs, catnip for dogs, toys with catnip, catnip treats for dogs","9900.0, 9900.0, 2400.0, 40.0",22240,7.420445801,https://www.chewy.com/skinny-petes-gourmet-catnip-dog-ezz/dp/285520,594,0
dog clothing designer,8100,dog clothing designer,8100,8100,6.148754945,,30,
dog gifts for mom,8100,"dog gifts for mom, gifts for dog mom, dog mom jewelry, custom dog mom gifts, personalized gifts for dog moms, new dog mom gifts, personalized dog gifts for mom, womens dog jewelry","8100.0, 8100.0, 320.0, 90.0, 70.0, 40.0, 40.0, 10.0",16770,6.442738555,https://www.chewy.com/pet-friends-dog-mom-pendant-necklace/dp/184278,152,
frog aquariums,8100,"frog aquariums, frogs for aquariums, pet frog aquarium, water frog aquarium, leopard frog aquarium, little aquarium frogs","8100.0, 8100.0, 480.0, 90.0, 20.0, 10.0",16800,5.474398305,,81,
pink cat games,8100,"pink cat games, rainbow cat games","8100.0, 140.0",8240,6.331775484,,30,
duck feed,6600,"duck feed, feed for duck, feed of duck, feed the duck, starter duck feed, duck feed fish, duck feed 50 lb, duck feed formula, pet duck feed, duck feed her, duck feed mix, duck feed starter, duck food mix","6600.0, 6600.0, 6600.0, 6600.0, 260.0, 210.0, 50.0, 20.0, 20.0, 10.0, 10.0, 10.0, 10.0",27000,5.486081949,https://www.chewy.com/b/food-11994,921,0.003050109
game kitten,6600,"game kitten, kitten games, little kitten games, kitten ball game, puppy and kitten games, games to play with kitten, fun kitten games, games kitten games, kitten war games","6600.0, 6600.0, 210.0, 90.0, 90.0, 50.0, 10.0, 10.0, 10.0",13670,6.71310778,,447,
horse liniments,6600,"horse liniments, liniment horse, liniments for horses, horse liniment ingredients, horse liniment oil, horse care liniments, horse liniment active ingredient","6600.0, 6600.0, 6600.0, 110.0, 50.0, 10.0, 10.0",19980,6.935436654,https://www.chewy.com/absorbine-bigeloil-sore-muscle-joint/dp/226109,56,0
playpen cats,6600,"playpen cats, cat cages and playpens","6600.0, 10.0",6610,7.573211178,https://www.chewy.com/frisco-collapsible-wire-cat-cage/dp/212522,60,0
suet feeders,6600,"suet feeders, suet cake feeders, round suet feeder, small suet feeder","6600.0, 110.0, 50.0, 10.0",6770,3.800564813,,16,
warrior cat games,6600,warrior cat games,6600,6600,0.95613286,,5,
black riding boots,5400,"black riding boots, riding boots black, black riding boots womens, womens black riding boots, tall riding boots black, riding boots black leather","5400.0, 5400.0, 4400.0, 4400.0, 390.0, 20.0",20010,5.989279906,,49,
cat stickers,5400,"cat stickers, car cat stickers, cat sticker car","5400.0, 720.0, 20.0",6140,3.262365089,,8,
chicken coops runs,5400,"chicken coops runs, chicken coop and run","5400.0, 2400.0",7800,2.677745229,https://www.chewy.com/aivituvin-283-in-indoor-outdoor/dp/334478?utm_source=google-product&amp;utm_medium=organic&amp;utm_campaign=%7Bcampaignid%7D&amp;utm_content=Aivituvin&amp;utm_term=%7Bkeyword%7D,6,
dog litter,5400,"dog litter, dog litter puppies, dog first litter, puppy litter supplies, guide dog litter","5400.0, 170.0, 70.0, 20.0, 10.0",5670,8.674422326,https://www.chewy.com/secondnature-dog-litter/dp/120530,278,0.005854178
reef aquariums,5400,"reef aquariums, nature aquariums, saltwater aquarium coral, saltwater aquarium decorations coral","5400.0, 1900.0, 320.0, 20.0",7640,6.284634956,https://www.chewy.com/instant-ocean-holdfast-epoxy-stick/dp/128301,54,0
riding boots horse,5400,"riding boots horse, white horse boots","5400.0, 70.0",5470,7.831059559,https://www.chewy.com/tough-1-extreme-vented-horse-sport/dp/134384,113,
vitamins fish oil,5400,"vitamins fish oil, fish oil omega 3 vitamins, omega 3 fish oil vitamins, nature made vitamins fish oil, nordic vitamins fish oil, fish oil vitamins for","5400.0, 140.0, 140.0, 50.0, 20.0, 10.0",5760,7.788528784,,2577,
acrylic for aquariums,4400,"acrylic for aquariums, cleaning acrylic aquariums","4400.0, 110.0",4510,6.858035492,https://www.chewy.com/glasscages-acrylic-fish-aquarium/dp/333221,68,0
dog vest anxiety,4400,dog vest anxiety,4400,4400,4.893443582,https://www.chewy.com/b/anxiety-vests-apparel-2704,19,0.25
jolly ball dog,4400,jolly ball dog,4400,4400,7.173192875,https://www.chewy.com/jolly-pets-10-push-n-play-ball-dog/dp/116164,28,0.03875969
small batch dog food,4400,small batch dog food,4400,4400,4.046588234,https://www.chewy.com/full-moon-artisanal-small-batch-maple/dp/132373,11,0
up country dog collars,4400,"up country dog collars, up country cat collars","4400.0, 40.0",4440,2.541226003,https://www.chewy.com/remington-double-ply-patterned-hound/dp/228126,7,0
blue fish aquariums,3600,"blue fish aquariums, aquarium lights blue, blue freshwater fish for aquariums","3600.0, 480.0, 20.0",4100,6.969394258,,376,
english riding boots,3600,english riding boots,3600,3600,8.150626873,,41,
farming mealworms,3600,"farming mealworms, mealworms raising, raising mealworms, mealworms larvae, fishing with mealworms, mealworms for fishing, mealworms for koi fish, use of mealworms","3600.0, 1600.0, 1600.0, 590.0, 480.0, 480.0, 10.0, 10.0",8370,8.276005071,https://www.chewy.com/zoo-med-can-o-worms-mealworms/dp/125788,76,
riding boots brown,3600,riding boots brown,3600,3600,1.727634883,,8,
sticker dogs,3600,"sticker dogs, the dog stickers","3600.0, 210.0",3810,3.891933365,,12,
bearded dragon lights,2900,"bearded dragon lights, light bearded dragon, bearded dragon lights at night, bearded dragon red light, bearded dragon infrared light at night, bearded dragon lights off at night","2900.0, 2900.0, 880.0, 260.0, 10.0, 10.0",6960,6.450891976,https://www.chewy.com/b/heating-lighting-14000,159,0.009836066
catnip seeds,2900,"catnip seeds, organic catnip seeds","2900.0, 50.0",2950,4.90888732,,22,
chicken feed fermentation,2900,"chicken feed fermentation, fermenting chicken feed, fermenting chicken feed pellets, fermenting chicken feed with molasses","2900.0, 2900.0, 40.0, 30.0",5870,6.706874169,https://www.chewy.com/kalmbach-feeds-all-natural-20-flock/dp/244693,1287,0.25
dog leash running,2900,"dog leash running, dog leashes for running, dog leash jogging","2900.0, 2900.0, 170.0",5970,4.092850423,,14,
frog rocks,2900,"frog rocks, rock frog","2900.0, 480.0",3380,2.277355526,,7,
horse blankets for winter,2900,horse blankets for winter,2900,2900,7.530087146,,50,
horse cribbing,2900,"horse cribbing, horse cribbing products","2900.0, 10.0",2910,3.915149564,https://www.chewy.com/weaver-leather-horse-miracle-collar/dp/162155,14,0
horse toys stable,2900,horse toys stable,2900,2900,2.683708558,,6,
litter box bunny,2900,litter box bunny,2900,2900,8.034908771,,50,
matching dog sweaters,2900,"matching dog sweaters, dog sweaters matching, matching cat sweaters, matching sweaters with cat","2900.0, 210.0, 140.0, 140.0",3390,5.517483456,,20,
riding gloves,2900,"riding gloves, leather riding gloves, riding gloves leather, riding gloves for winter, winter riding gloves, horse riding gloves for winter, horse riding gloves winter, riding gloves horse winter, riding to gloves","2900.0, 880.0, 880.0, 480.0, 480.0, 210.0, 210.0, 10.0, 10.0",6060,4.012691948,https://www.chewy.com/horze-crochet-horse-riding-gloves/dp/305038,16,0
cat shirts funny,2400,cat shirts funny,2400,2400,4.680136635,,32,
chicken sesame seeds,2400,"chicken sesame seeds, chicken with sesame seeds, chicken with mustard seeds","2400.0, 2400.0, 40.0",4840,6.190570843,,30,
dog bell pepper,2400,dog bell pepper,2400,2400,2.932818148,,7,
dog bones raw,2400,"dog bones raw, raw dog bones, puppy raw bones","2400.0, 2400.0, 10.0",4810,7.608014833,,106,
